Label_Lexi,Region_Lexi,Label_Delin,Net_Delin,Label_Yeo,ROI_Yeo,R,A,S,Label_ggseg,region_ggseg,ROI_Data,,,,,Label_Lab
72,Schaefer2018_17Networks_LH_DorsAttnB_PostC_1,6,DorsAttnB,73,17Networks_LH_DorsAttnB_PostC_1,-62,-24,32,lh_17Networks_LH_DorsAttnB_PostC_1,DorsAttnB_PostC_1,X17Networks_LH_DorsAttnB_PostC_1,,,,73,Schaefer2018_17Networks_LH_DorsAttnB_PostC_1
73,Schaefer2018_17Networks_LH_DorsAttnB_PostC_2,6,DorsAttnB,74,17Networks_LH_DorsAttnB_PostC_2,-54,-20,40,lh_17Networks_LH_DorsAttnB_PostC_2,DorsAttnB_PostC_2,X17Networks_LH_DorsAttnB_PostC_2,,,,74,Schaefer2018_17Networks_LH_DorsAttnB_PostC_2
74,Schaefer2018_17Networks_LH_DorsAttnB_PostC_3,6,DorsAttnB,75,17Networks_LH_DorsAttnB_PostC_3,-54,-32,44,lh_17Networks_LH_DorsAttnB_PostC_3,DorsAttnB_PostC_3,X17Networks_LH_DorsAttnB_PostC_3,,,,75,Schaefer2018_17Networks_LH_DorsAttnB_PostC_3
75,Schaefer2018_17Networks_LH_DorsAttnB_PostC_4,6,DorsAttnB,76,17Networks_LH_DorsAttnB_PostC_4,-46,-30,44,lh_17Networks_LH_DorsAttnB_PostC_4,DorsAttnB_PostC_4,X17Networks_LH_DorsAttnB_PostC_4,,,,76,Schaefer2018_17Networks_LH_DorsAttnB_PostC_4
76,Schaefer2018_17Networks_LH_DorsAttnB_PostC_5,6,DorsAttnB,77,17Networks_LH_DorsAttnB_PostC_5,-38,-38,50,lh_17Networks_LH_DorsAttnB_PostC_5,DorsAttnB_PostC_5,X17Networks_LH_DorsAttnB_PostC_5,,,,77,Schaefer2018_17Networks_LH_DorsAttnB_PostC_5
77,Schaefer2018_17Networks_LH_DorsAttnB_PostC_6,6,DorsAttnB,78,17Networks_LH_DorsAttnB_PostC_6,-30,-46,62,lh_17Networks_LH_DorsAttnB_PostC_6,DorsAttnB_PostC_6,X17Networks_LH_DorsAttnB_PostC_6,,,,78,Schaefer2018_17Networks_LH_DorsAttnB_PostC_6
78,Schaefer2018_17Networks_LH_DorsAttnB_PostC_7,6,DorsAttnB,79,17Networks_LH_DorsAttnB_PostC_7,-8,-58,64,lh_17Networks_LH_DorsAttnB_PostC_7,DorsAttnB_PostC_7,X17Networks_LH_DorsAttnB_PostC_7,,,,79,Schaefer2018_17Networks_LH_DorsAttnB_PostC_7
79,Schaefer2018_17Networks_LH_DorsAttnB_PostC_8,6,DorsAttnB,80,17Networks_LH_DorsAttnB_PostC_8,-20,-56,66,lh_17Networks_LH_DorsAttnB_PostC_8,DorsAttnB_PostC_8,X17Networks_LH_DorsAttnB_PostC_8,,,,80,Schaefer2018_17Networks_LH_DorsAttnB_PostC_8
80,Schaefer2018_17Networks_LH_DorsAttnB_PostC_9,6,DorsAttnB,81,17Networks_LH_DorsAttnB_PostC_9,-14,-50,72,lh_17Networks_LH_DorsAttnB_PostC_9,DorsAttnB_PostC_9,X17Networks_LH_DorsAttnB_PostC_9,,,,81,Schaefer2018_17Networks_LH_DorsAttnB_PostC_9
81,Schaefer2018_17Networks_LH_DorsAttnB_FEF_1,6,DorsAttnB,82,17Networks_LH_DorsAttnB_FEF_1,-40,-2,52,lh_17Networks_LH_DorsAttnB_FEF_1,DorsAttnB_FEF_1,X17Networks_LH_DorsAttnB_FEF_1,,,,82,Schaefer2018_17Networks_LH_DorsAttnB_FEF_1
82,Schaefer2018_17Networks_LH_DorsAttnB_FEF_2,6,DorsAttnB,83,17Networks_LH_DorsAttnB_FEF_2,-26,0,56,lh_17Networks_LH_DorsAttnB_FEF_2,DorsAttnB_FEF_2,X17Networks_LH_DorsAttnB_FEF_2,,,,83,Schaefer2018_17Networks_LH_DorsAttnB_FEF_2
83,Schaefer2018_17Networks_LH_DorsAttnB_FEF_3,6,DorsAttnB,84,17Networks_LH_DorsAttnB_FEF_3,-30,-8,52,lh_17Networks_LH_DorsAttnB_FEF_3,DorsAttnB_FEF_3,X17Networks_LH_DorsAttnB_FEF_3,,,,84,Schaefer2018_17Networks_LH_DorsAttnB_FEF_3
84,Schaefer2018_17Networks_LH_DorsAttnB_PrCv_1,6,DorsAttnB,85,17Networks_LH_DorsAttnB_PrCv_1,-50,2,38,lh_17Networks_LH_DorsAttnB_PrCv_1,DorsAttnB_PrCv_1,X17Networks_LH_DorsAttnB_PrCv_1,,,,85,Schaefer2018_17Networks_LH_DorsAttnB_PrCv_1
85,Schaefer2018_17Networks_LH_SalVentAttnA_ParOper_1,7,SalVentAttnA,86,17Networks_LH_SalVentAttnA_ParOper_1,-54,-32,22,lh_17Networks_LH_SalVentAttnA_ParOper_1,SalVentAttnA_ParOper_1,X17Networks_LH_SalVentAttnA_ParOper_1,,,,86,Schaefer2018_17Networks_LH_SalVentAttnA_ParOper_1
86,Schaefer2018_17Networks_LH_SalVentAttnA_ParOper_2,7,SalVentAttnA,87,17Networks_LH_SalVentAttnA_ParOper_2,-58,-44,28,lh_17Networks_LH_SalVentAttnA_ParOper_2,SalVentAttnA_ParOper_2,X17Networks_LH_SalVentAttnA_ParOper_2,,,,87,Schaefer2018_17Networks_LH_SalVentAttnA_ParOper_2
87,Schaefer2018_17Networks_LH_SalVentAttnA_ParOper_3,7,SalVentAttnA,88,17Networks_LH_SalVentAttnA_ParOper_3,-62,-36,34,lh_17Networks_LH_SalVentAttnA_ParOper_3,SalVentAttnA_ParOper_3,X17Networks_LH_SalVentAttnA_ParOper_3,,,,88,Schaefer2018_17Networks_LH_SalVentAttnA_ParOper_3
88,Schaefer2018_17Networks_LH_SalVentAttnA_Ins_1,7,SalVentAttnA,89,17Networks_LH_SalVentAttnA_Ins_1,-38,2,-4,lh_17Networks_LH_SalVentAttnA_Ins_1,SalVentAttnA_Ins_1,X17Networks_LH_SalVentAttnA_Ins_1,,,,89,Schaefer2018_17Networks_LH_SalVentAttnA_Ins_1
89,Schaefer2018_17Networks_LH_SalVentAttnA_Ins_2,7,SalVentAttnA,90,17Networks_LH_SalVentAttnA_Ins_2,-40,-14,-2,lh_17Networks_LH_SalVentAttnA_Ins_2,SalVentAttnA_Ins_2,X17Networks_LH_SalVentAttnA_Ins_2,,,,90,Schaefer2018_17Networks_LH_SalVentAttnA_Ins_2
90,Schaefer2018_17Networks_LH_SalVentAttnA_Ins_3,7,SalVentAttnA,91,17Networks_LH_SalVentAttnA_Ins_3,-32,18,8,lh_17Networks_LH_SalVentAttnA_Ins_3,SalVentAttnA_Ins_3,X17Networks_LH_SalVentAttnA_Ins_3,,,,91,Schaefer2018_17Networks_LH_SalVentAttnA_Ins_3
91,Schaefer2018_17Networks_LH_SalVentAttnA_Ins_4,7,SalVentAttnA,92,17Networks_LH_SalVentAttnA_Ins_4,-36,4,10,lh_17Networks_LH_SalVentAttnA_Ins_4,SalVentAttnA_Ins_4,X17Networks_LH_SalVentAttnA_Ins_4,,,,92,Schaefer2018_17Networks_LH_SalVentAttnA_Ins_4
92,Schaefer2018_17Networks_LH_SalVentAttnA_Ins_5,7,SalVentAttnA,93,17Networks_LH_SalVentAttnA_FrOper_1,-50,2,4,lh_17Networks_LH_SalVentAttnA_FrOper_1,SalVentAttnA_FrOper_1,X17Networks_LH_SalVentAttnA_FrOper_1,,,,93,Schaefer2018_17Networks_LH_SalVentAttnA_Ins_5
93,Schaefer2018_17Networks_LH_SalVentAttnA_Ins_6,7,SalVentAttnA,94,17Networks_LH_SalVentAttnA_FrOper_2,-52,8,14,lh_17Networks_LH_SalVentAttnA_FrOper_2,SalVentAttnA_FrOper_2,X17Networks_LH_SalVentAttnA_FrOper_2,,,,94,Schaefer2018_17Networks_LH_SalVentAttnA_Ins_6
94,Schaefer2018_17Networks_LH_SalVentAttnA_ParMed_1,7,SalVentAttnA,95,17Networks_LH_SalVentAttnA_ParMed_1,-12,-28,42,lh_17Networks_LH_SalVentAttnA_ParMed_1,SalVentAttnA_ParMed_1,X17Networks_LH_SalVentAttnA_ParMed_1,,,,95,Schaefer2018_17Networks_LH_SalVentAttnA_ParMed_1
95,Schaefer2018_17Networks_LH_SalVentAttnA_ParMed_2,7,SalVentAttnA,96,17Networks_LH_SalVentAttnA_ParMed_2,-12,-42,48,lh_17Networks_LH_SalVentAttnA_ParMed_2,SalVentAttnA_ParMed_2,X17Networks_LH_SalVentAttnA_ParMed_2,,,,96,Schaefer2018_17Networks_LH_SalVentAttnA_ParMed_2
96,Schaefer2018_17Networks_LH_SalVentAttnA_ParMed_3,7,SalVentAttnA,97,17Networks_LH_SalVentAttnA_ParMed_3,-6,-48,56,lh_17Networks_LH_SalVentAttnA_ParMed_3,SalVentAttnA_ParMed_3,X17Networks_LH_SalVentAttnA_ParMed_3,,,,97,Schaefer2018_17Networks_LH_SalVentAttnA_ParMed_3
97,Schaefer2018_17Networks_LH_SalVentAttnA_FrMed_1,7,SalVentAttnA,98,17Networks_LH_SalVentAttnA_FrMed_1,-6,0,40,lh_17Networks_LH_SalVentAttnA_FrMed_1,SalVentAttnA_FrMed_1,X17Networks_LH_SalVentAttnA_FrMed_1,,,,98,Schaefer2018_17Networks_LH_SalVentAttnA_FrMed_1
98,Schaefer2018_17Networks_LH_SalVentAttnA_FrMed_2,7,SalVentAttnA,99,17Networks_LH_SalVentAttnA_FrMed_2,-6,10,48,lh_17Networks_LH_SalVentAttnA_FrMed_2,SalVentAttnA_FrMed_2,X17Networks_LH_SalVentAttnA_FrMed_2,,,,99,Schaefer2018_17Networks_LH_SalVentAttnA_FrMed_2
99,Schaefer2018_17Networks_LH_SalVentAttnA_FrMed_3,7,SalVentAttnA,100,17Networks_LH_SalVentAttnA_FrMed_3,-8,-2,70,lh_17Networks_LH_SalVentAttnA_FrMed_3,SalVentAttnA_FrMed_3,X17Networks_LH_SalVentAttnA_FrMed_3,,,,100,Schaefer2018_17Networks_LH_SalVentAttnA_FrMed_3
100,Schaefer2018_17Networks_LH_SalVentAttnB_PFCl_1,8,SalVentAttnB,101,17Networks_LH_SalVentAttnB_PFCl_1,-38,50,10,lh_17Networks_LH_SalVentAttnB_PFCl_1,SalVentAttnB_PFCl_1,X17Networks_LH_SalVentAttnB_PFCl_1,,,,101,Schaefer2018_17Networks_LH_SalVentAttnB_PFCl_1
101,Schaefer2018_17Networks_LH_SalVentAttnB_PFCl_2,8,SalVentAttnB,102,17Networks_LH_SalVentAttnB_PFCl_2,-28,44,30,lh_17Networks_LH_SalVentAttnB_PFCl_2,SalVentAttnB_PFCl_2,X17Networks_LH_SalVentAttnB_PFCl_2,,,,102,Schaefer2018_17Networks_LH_SalVentAttnB_PFCl_2
102,Schaefer2018_17Networks_LH_SalVentAttnB_PFCl_3,8,SalVentAttnB,103,17Networks_LH_SalVentAttnB_PFCl_3,-36,32,38,lh_17Networks_LH_SalVentAttnB_PFCl_3,SalVentAttnB_PFCl_3,X17Networks_LH_SalVentAttnB_PFCl_3,,,,103,Schaefer2018_17Networks_LH_SalVentAttnB_PFCl_3
103,Schaefer2018_17Networks_LH_SalVentAttnB_PFCv_1,8,SalVentAttnB,104,17Networks_LH_SalVentAttnB_Ins_1,-34,16,-8,lh_17Networks_LH_SalVentAttnB_Ins_1,SalVentAttnB_Ins_1,X17Networks_LH_SalVentAttnB_Ins_1,,,,104,Schaefer2018_17Networks_LH_SalVentAttnB_PFCv_1
104,Schaefer2018_17Networks_LH_SalVentAttnB_PFCv_2,8,SalVentAttnB,105,17Networks_LH_SalVentAttnB_Ins_2,-32,24,0,lh_17Networks_LH_SalVentAttnB_Ins_2,SalVentAttnB_Ins_2,X17Networks_LH_SalVentAttnB_Ins_2,,,,105,Schaefer2018_17Networks_LH_SalVentAttnB_PFCv_2
105,Schaefer2018_17Networks_LH_SalVentAttnB_PFCv_3,8,SalVentAttnB,106,17Networks_LH_SalVentAttnB_Ins_3,-44,12,2,lh_17Networks_LH_SalVentAttnB_Ins_3,SalVentAttnB_Ins_3,X17Networks_LH_SalVentAttnB_Ins_3,,,,106,Schaefer2018_17Networks_LH_SalVentAttnB_PFCv_3
106,Schaefer2018_17Networks_LH_SalVentAttnB_OFC_1,8,SalVentAttnB,107,17Networks_LH_SalVentAttnB_OFC_1,-26,50,-14,lh_17Networks_LH_SalVentAttnB_OFC_1,SalVentAttnB_OFC_1,X17Networks_LH_SalVentAttnB_OFC_1,,,,107,Schaefer2018_17Networks_LH_SalVentAttnB_OFC_1
107,Schaefer2018_17Networks_LH_SalVentAttnB_PFCmp_1,8,SalVentAttnB,108,17Networks_LH_SalVentAttnB_PFCmp_1,-6,22,32,lh_17Networks_LH_SalVentAttnB_PFCmp_1,SalVentAttnB_PFCmp_1,X17Networks_LH_SalVentAttnB_PFCmp_1,,,,108,Schaefer2018_17Networks_LH_SalVentAttnB_PFCmp_1
108,Schaefer2018_17Networks_LH_Limbic_OFC_1,9,LimbicB,109,17Networks_LH_LimbicB_OFC_1,-12,24,-20,lh_17Networks_LH_LimbicB_OFC_1,LimbicB_OFC_1,X17Networks_LH_LimbicB_OFC_1,,,,109,Schaefer2018_17Networks_LH_Limbic_OFC_1
109,Schaefer2018_17Networks_LH_Limbic_OFC_2,9,LimbicB,110,17Networks_LH_LimbicB_OFC_2,-24,22,-20,lh_17Networks_LH_LimbicB_OFC_2,LimbicB_OFC_2,X17Networks_LH_LimbicB_OFC_2,,,,110,Schaefer2018_17Networks_LH_Limbic_OFC_2
110,Schaefer2018_17Networks_LH_Limbic_OFC_3,9,LimbicB,111,17Networks_LH_LimbicB_OFC_3,-10,48,-22,lh_17Networks_LH_LimbicB_OFC_3,LimbicB_OFC_3,X17Networks_LH_LimbicB_OFC_3,,,,111,Schaefer2018_17Networks_LH_Limbic_OFC_3
111,Schaefer2018_17Networks_LH_Limbic_OFC_4,9,LimbicB,112,17Networks_LH_LimbicB_OFC_4,-4,24,-20,lh_17Networks_LH_LimbicB_OFC_4,LimbicB_OFC_4,X17Networks_LH_LimbicB_OFC_4,,,,112,Schaefer2018_17Networks_LH_Limbic_OFC_4
112,Schaefer2018_17Networks_LH_Limbic_OFC_5,9,LimbicB,113,17Networks_LH_LimbicB_OFC_5,-16,64,-8,lh_17Networks_LH_LimbicB_OFC_5,LimbicB_OFC_5,X17Networks_LH_LimbicB_OFC_5,,,,113,Schaefer2018_17Networks_LH_Limbic_OFC_5
113,Schaefer2018_17Networks_LH_Limbic_TempPole_1,9,LimbicA,114,17Networks_LH_LimbicA_TempPole_1,-38,-6,-42,lh_17Networks_LH_LimbicA_TempPole_1,LimbicA_TempPole_1,X17Networks_LH_LimbicA_TempPole_1,,,,114,Schaefer2018_17Networks_LH_Limbic_TempPole_1
114,Schaefer2018_17Networks_LH_Limbic_TempPole_2,10,LimbicA,115,17Networks_LH_LimbicA_TempPole_2,-24,6,-40,lh_17Networks_LH_LimbicA_TempPole_2,LimbicA_TempPole_2,X17Networks_LH_LimbicA_TempPole_2,,,,115,Schaefer2018_17Networks_LH_Limbic_TempPole_2
115,Schaefer2018_17Networks_LH_Limbic_TempPole_3,10,LimbicA,116,17Networks_LH_LimbicA_TempPole_3,-26,-10,-32,lh_17Networks_LH_LimbicA_TempPole_3,LimbicA_TempPole_3,X17Networks_LH_LimbicA_TempPole_3,,,,116,Schaefer2018_17Networks_LH_Limbic_TempPole_3
116,Schaefer2018_17Networks_LH_Limbic_TempPole_4,10,LimbicA,117,17Networks_LH_LimbicA_TempPole_4,-54,-22,-30,lh_17Networks_LH_LimbicA_TempPole_4,LimbicA_TempPole_4,X17Networks_LH_LimbicA_TempPole_4,,,,117,Schaefer2018_17Networks_LH_Limbic_TempPole_4
117,Schaefer2018_17Networks_LH_Limbic_TempPole_5,10,LimbicA,118,17Networks_LH_LimbicA_TempPole_5,-40,-22,-26,lh_17Networks_LH_LimbicA_TempPole_5,LimbicA_TempPole_5,X17Networks_LH_LimbicA_TempPole_5,,,,118,Schaefer2018_17Networks_LH_Limbic_TempPole_5
118,Schaefer2018_17Networks_LH_Limbic_TempPole_6,10,LimbicA,119,17Networks_LH_LimbicA_TempPole_6,-32,12,-30,lh_17Networks_LH_LimbicA_TempPole_6,LimbicA_TempPole_6,X17Networks_LH_LimbicA_TempPole_6,,,,119,Schaefer2018_17Networks_LH_Limbic_TempPole_6
119,Schaefer2018_17Networks_LH_Limbic_TempPole_7,10,LimbicA,120,17Networks_LH_LimbicA_TempPole_7,-44,6,-16,lh_17Networks_LH_LimbicA_TempPole_7,LimbicA_TempPole_7,X17Networks_LH_LimbicA_TempPole_7,,,,120,Schaefer2018_17Networks_LH_Limbic_TempPole_7
120,Schaefer2018_17Networks_LH_ContA_Temp_1,11,ContA,121,17Networks_LH_ContA_Temp_1,-56,-62,0,lh_17Networks_LH_ContA_Temp_1,ContA_Temp_1,X17Networks_LH_ContA_Temp_1,,,,121,Schaefer2018_17Networks_LH_ContA_Temp_1
121,Schaefer2018_17Networks_LH_ContA_IPS_1,11,ContA,122,17Networks_LH_ContA_IPS_1,-28,-74,42,lh_17Networks_LH_ContA_IPS_1,ContA_IPS_1,X17Networks_LH_ContA_IPS_1,,,,122,Schaefer2018_17Networks_LH_ContA_IPS_1
122,Schaefer2018_17Networks_LH_ContA_IPS_2,11,ContA,123,17Networks_LH_ContA_IPS_2,-58,-42,46,lh_17Networks_LH_ContA_IPS_2,ContA_IPS_2,X17Networks_LH_ContA_IPS_2,,,,123,Schaefer2018_17Networks_LH_ContA_IPS_2
123,Schaefer2018_17Networks_LH_ContA_IPS_3,11,ContA,124,17Networks_LH_ContA_IPS_3,-34,-62,48,lh_17Networks_LH_ContA_IPS_3,ContA_IPS_3,X17Networks_LH_ContA_IPS_3,,,,124,Schaefer2018_17Networks_LH_ContA_IPS_3
124,Schaefer2018_17Networks_LH_ContA_IPS_4,11,ContA,125,17Networks_LH_ContA_IPS_4,-44,-42,46,lh_17Networks_LH_ContA_IPS_4,ContA_IPS_4,X17Networks_LH_ContA_IPS_4,,,,125,Schaefer2018_17Networks_LH_ContA_IPS_4
125,Schaefer2018_17Networks_LH_ContA_IPS_5,11,ContA,126,17Networks_LH_ContA_IPS_5,-34,-46,40,lh_17Networks_LH_ContA_IPS_5,ContA_IPS_5,X17Networks_LH_ContA_IPS_5,,,,126,Schaefer2018_17Networks_LH_ContA_IPS_5
126,Schaefer2018_17Networks_LH_ContA_PFCd_1,11,ContA,127,17Networks_LH_ContA_PFCd_1,-22,6,64,lh_17Networks_LH_ContA_PFCd_1,ContA_PFCd_1,X17Networks_LH_ContA_PFCd_1,,,,127,Schaefer2018_17Networks_LH_ContA_PFCd_1
127,Schaefer2018_17Networks_LH_ContA_PFCl_1,11,ContA,128,17Networks_LH_ContA_PFClv_1,-48,36,10,lh_17Networks_LH_ContA_PFClv_1,ContA_PFClv_1,X17Networks_LH_ContA_PFClv_1,,,,128,Schaefer2018_17Networks_LH_ContA_PFCl_1
128,Schaefer2018_17Networks_LH_ContA_PFCl_2,11,ContA,129,17Networks_LH_ContA_PFClv_2,-42,38,22,lh_17Networks_LH_ContA_PFClv_2,ContA_PFClv_2,X17Networks_LH_ContA_PFClv_2,,,,129,Schaefer2018_17Networks_LH_ContA_PFCl_2
129,Schaefer2018_17Networks_LH_ContA_PFCl_3,11,ContA,130,17Networks_LH_ContA_PFCl_1,-50,6,26,lh_17Networks_LH_ContA_PFCl_1,ContA_PFCl_1,X17Networks_LH_ContA_PFCl_1,,,,130,Schaefer2018_17Networks_LH_ContA_PFCl_3
130,Schaefer2018_17Networks_LH_ContA_PFCl_4,11,ContA,131,17Networks_LH_ContA_PFCl_2,-44,20,26,lh_17Networks_LH_ContA_PFCl_2,ContA_PFCl_2,X17Networks_LH_ContA_PFCl_2,,,,131,Schaefer2018_17Networks_LH_ContA_PFCl_4
131,Schaefer2018_17Networks_LH_ContA_PFCl_5,11,ContA,132,17Networks_LH_ContA_PFCl_3,-40,8,34,lh_17Networks_LH_ContA_PFCl_3,ContA_PFCl_3,X17Networks_LH_ContA_PFCl_3,,,,132,Schaefer2018_17Networks_LH_ContA_PFCl_5
132,Schaefer2018_17Networks_LH_ContA_Cinga_1,11,ContA,133,17Networks_LH_ContA_Cingm_1,-4,6,28,lh_17Networks_LH_ContA_Cingm_1,ContA_Cingm_1,X17Networks_LH_ContA_Cingm_1,,,,133,Schaefer2018_17Networks_LH_ContA_Cinga_1
133,Schaefer2018_17Networks_LH_ContB_Temp_1,12,ContB,134,17Networks_LH_ContB_Temp_1,-60,-36,-18,lh_17Networks_LH_ContB_Temp_1,ContB_Temp_1,X17Networks_LH_ContB_Temp_1,,,,134,Schaefer2018_17Networks_LH_ContB_Temp_1
134,Schaefer2018_17Networks_LH_ContB_Temp_2,12,ContB,135,17Networks_LH_ContB_Temp_2,-60,-48,-10,lh_17Networks_LH_ContB_Temp_2,ContB_Temp_2,X17Networks_LH_ContB_Temp_2,,,,135,Schaefer2018_17Networks_LH_ContB_Temp_2
135,Schaefer2018_17Networks_LH_ContB_IPL_1,12,ContB,136,17Networks_LH_ContB_IPL_1,-48,-60,46,lh_17Networks_LH_ContB_IPL_1,ContB_IPL_1,X17Networks_LH_ContB_IPL_1,,,,136,Schaefer2018_17Networks_LH_ContB_IPL_1
136,Schaefer2018_17Networks_LH_ContB_IPL_2,12,ContB,137,17Networks_LH_ContB_IPL_2,-54,-50,44,lh_17Networks_LH_ContB_IPL_2,ContB_IPL_2,X17Networks_LH_ContB_IPL_2,,,,137,Schaefer2018_17Networks_LH_ContB_IPL_2
137,Schaefer2018_17Networks_LH_ContB_IPL_3,12,ContB,138,17Networks_LH_ContB_IPL_3,-42,-52,48,lh_17Networks_LH_ContB_IPL_3,ContB_IPL_3,X17Networks_LH_ContB_IPL_3,,,,138,Schaefer2018_17Networks_LH_ContB_IPL_3
138,Schaefer2018_17Networks_LH_ContB_PFCd_1,12,ContB,139,17Networks_LH_ContB_PFCd_1,-30,14,58,lh_17Networks_LH_ContB_PFCd_1,ContB_PFCd_1,X17Networks_LH_ContB_PFCd_1,,,,139,Schaefer2018_17Networks_LH_ContB_PFCd_1
